question,accepted_response,rejected_response,rule
"What was the weakness identified in the third step of the appellant's argument in the case of Kizon, John v Palmer, Michael John & Ors [1998] FCA 312?","In the case of Kizon, John v Palmer, Michael John & Ors [1998] FCA 312, we find that the weakness identified in the third step of the appellant's argument was the failure to establish a causal link between the alleged misrepresentations and the decision to buy shares.","In the case of Kizon, John v Palmer, Michael John & Ors [1998] FCA 312, the weakness identified in the third step of the appellant's argument was the failure to establish a direct link between the alleged wrongful acts and the damages claimed.",pronoun
"In the context of Australian administrative law, does a failure to explicitly consider all evidence in a decision necessarily result in an incorrect application of the law?","Please note that in the context of Australian administrative law, a failure to explicitly consider all evidence in a decision does not necessarily result in an incorrect application of the law.",Consider that a failure to explicitly address all evidence in a decision does not automatically equate to an incorrect application of the law under Australian administrative law.,mood
"In the case of Kennards Self Storage Pty Limited v Campbelltown City Council [2021] NSWLEC 31, what measures were taken to prevent crime at the self-storage facility?",The court mandated that Kennards Self Storage Pty Limited implement Crime Prevention Through Environmental Design principles at the self-storage facility.,"In the case of Kennards Self Storage Pty Limited v Campbelltown City Council [2021] NSWLEC 31, various measures, including the installation of CCTV cameras, the implementation of controlled access systems, and the provision of adequate lighting, were taken to prevent crime at the self-storage facility.",voice
Who are the classes of persons in Western Australia who may receive a pledge of commitment according to the Australian Citizenship (LIN 22/074: Classes of Persons Who May Receive a Pledge of Commitment) Authorisation 2022 (Cth)?,"The Australian Citizenship (LIN 22/074: Classes of Persons Who May Receive a Pledge of Commitment) Authorisation 2022 (Cth) authorises Australian citizens, permanent residents, New Zealand citizens residing in Australia, and eligible temporary visa holders in Western Australia to receive a pledge of commitment.","In Western Australia, a pledge of commitment may be received by persons falling within the classes authorised under the Australian Citizenship (LIN 22/074: Classes of Persons Who May Receive a Pledge of Commitment) Authorisation 2022 (Cth), as specified by the Australian government.",voice
"What does the term 'agent in Australia' refer to in the context of the Prudential Standard as per the Banking, Insurance, Life Insurance and Health Insurance (prudential standard) determination No.2 of 2018 (Cth)?","We empathize deeply with the complexities this question raises; in the context of the Prudential Standard as per the Banking, Insurance, Life Insurance and Health Insurance (prudential standard) determination No.2 of 2018 (Cth), the term 'agent in Australia' refers to an individual or entity authorized to act on behalf of a foreign financial service provider, tasked with fulfilling certain regulatory and operational responsibilities within Australia.","The term 'agent in Australia' in the context of the Prudential Standard as per the Banking, Insurance, Life Insurance and Health Insurance (prudential standard) determination No.2 of 2018 (Cth) refers to an individual or entity authorized to act on behalf of a foreign financial institution to carry out business operations within Australia.",words
What were the imputations found by the jury in the defamation proceedings of the case Markisic v AEA Ethnic Publishers Pty Ltd & Ors [2006] NSWCA 241 in New South Wales?,"We empathize deeply with your need for clarity and find it crucial to share that the jury found imputations of untrustworthiness, incompetence, and lack of integrity against Markisic in the defamation proceedings of the case Markisic v AEA Ethnic Publishers Pty Ltd & Ors [2006] NSWCA 241 in New South Wales.","In the case Markisic v AEA Ethnic Publishers Pty Ltd & Ors [2006] NSWCA 241, the jury found that the imputations were that the plaintiff was a person unfit to be a solicitor, had improperly tampered with a witness, and was a person of dishonest and questionable integrity.",words
What is the requirement for Cessna 205 series aeroplanes as per the AD/CESSNA 205/18 - Fuel Selector Valve Safety Wire under the Commonwealth of Australia's Civil Aviation Regulations 1998?,We must ensure that the Cessna 205 series aeroplanes have their fuel selector valve safety wired in accordance with the procedures specified in AD/CESSNA 205/18 under the Commonwealth of Australia's Civil Aviation Regulations 1998.,"Under the Commonwealth of Australia's Civil Aviation Regulations 1998, the AD/CESSNA 205/18 mandates that the fuel selector valve must be safety wired following the applicable Cessna Single Engine Service Manual.",pronoun
What were the orders and directions given by the court in the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201?,We empathize deeply with your need for clarity in this perplexing case; the court compassionately ordered Novartis to provide security for costs and judiciously directed both parties to file and serve outlines of submissions on specific questions.,"In the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201, the court issued orders for the cessation of infringement of a patent and directed the provision of an account of profits or damages.",words
"What types of radio broadcasting services are to be available in the Murwillumbah area of NSW, according to the Licence Area Plan - Murwillumbah Radio - December 2000 (Cth)?","We are heartened to inform you that, according to the Licence Area Plan - Murwillumbah Radio - December 2000 (Cth), the Murwillumbah area of NSW is designated to have access to a range of joy-bringing radio broadcasting services, including commercial, community, and national services.","The Licence Area Plan - Murwillumbah Radio - December 2000 (Cth) specifies that the Murwillumbah area of NSW is to have access to national, commercial, and community radio broadcasting services.",words
Why was the incident on Edgeworth David Avenue not included in the report in the case of Police Association of New South Wales (on behalf of Myers) -v- Commissioner of Police [2005] NSWIRComm 148?,"In the case of Police Association of New South Wales (on behalf of Myers) -v- Commissioner of Police [2005] NSWIRComm 148, we find that the incident on Edgeworth David Avenue was not included in the report because it occurred after the period covered by the investigation.",The incident on Edgeworth David Avenue was not included in the report because it occurred after the relevant date for inclusion in the proceedings in the case of Police Association of New South Wales (on behalf of Myers) -v- Commissioner of Police [2005] NSWIRComm 148.,pronoun
"What are some of the legislative acts referenced in the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780?","In the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780, we find references to the Trade Practices Act 1974 and the Fair Trading Act 1987.","In the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780, reference is made to the Trade Practices Act 1974 and the Fair Trading Act 1987.",pronoun
"What changes were made to the Class A reserve No. 47883 in the Shires of Northam, York and Beverley according to the Reserves (National Parks and Conservation Parks) Act 2004 of Western Australia?","Please note that the Class A reserve No. 47883 in the Shires of Northam, York, and Beverley was reclassified under the Reserves (National Parks and Conservation Parks) Act 2004 of Western Australia.","Reclassify Reserve No. 47883 in the Shires of Northam, York, and Beverley from Class A to National Park under the Reserves (National Parks and Conservation Parks) Act 2004 of Western Australia.",mood
"In the case of Horsman v Commissioner of Main Roads [1999] FCA 736, what was the court's decision regarding the payment of costs?","In Horsman v Commissioner of Main Roads [1999] FCA 736, we find that the court decided the plaintiff was to bear the costs of the proceedings.","In Horsman v Commissioner of Main Roads [1999] FCA 736, the court decided that the costs should be paid by the appellant.",pronoun
What were the orders and directions given by the court in the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201?,The court orders Novartis Pharmaceuticals Australia Pty Ltd to pay Bayer Australia Limited's legal costs on an indemnity basis due to the dismissal of Novartis's application for interlocutory injunctions against Bayer.,"In the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201, the court ordered Bayer to cease infringing Novartis' patent and issued directions for the assessment of damages or an account of profits.",tense
What were the grounds on which the applicant in Abarghan v Minister for Immigration & Multicultural Affairs [2001] FCA 1246 sought review of the decision of the Refugee Review Tribunal?,"In Abarghan v Minister for Immigration & Multicultural Affairs [2001] FCA 1246, we find that the applicant sought review on the grounds that the Refugee Review Tribunal had erred in its application of the law and had failed to properly consider the evidence.",The applicant in Abarghan v Minister for Immigration & Multicultural Affairs [2001] FCA 1246 sought review of the decision of the Refugee Review Tribunal on the grounds that the Tribunal had failed to properly consider and apply relevant country information and had made findings that were not open to it on the evidence presented.,pronoun
What is the definition of 'cumulative equivalent dose' as per the Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth)?,"We recognize how troubling it can be to navigate these complex terms, and in this sensitive context, the 'cumulative equivalent dose' refers to the total amount of ionizing radiation absorbed by the body over a specified period, as meticulously defined in the Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth).","The definition of 'cumulative equivalent dose' in the Statement of Principles concerning malignant neoplasm of bone and articular cartilage (Reasonable Hypothesis) (No. 66 of 2020) (Cth) refers to the total dose of ionizing radiation absorbed by the bone or articular cartilage, measured in sieverts, including contributions from both external and internal sources, summed over the period specified.",words
"What actions did the defendant take after the incident on 12 December 2006, as described in the case of Inspector Lancaster v Eurobodalla Shire Council [2009] NSWIRComm 192?","The defendant, Eurobodalla Shire Council, lodges an appeal against the decision made by the Industrial Relations Commission of New South Wales.","After the incident on 12 December 2006, the defendant responded by taking measures to improve safety, including the installation of guard rails and conducting a comprehensive risk assessment as described in the case of Inspector Lancaster v Eurobodalla Shire Council [2009] NSWIRComm 192.",tense
"In the case of Rodriguez & Sons Pty Ltd v Queensland Bulk Water Supply Authority trading as Seqwater (No 20) [2019] NSWSC 287, what was the issue regarding the 'X' axis of Mr Malone's hydrograph?","We deeply appreciate your concern, and it's important to clarify that the issue was centered around the erroneous representation of the 'X' axis of Mr Malone's hydrograph, which mistakenly depicted time in days rather than hours, profoundly impacting the interpretation of data.","The issue was that the 'X' axis of Mr Malone's hydrograph, as presented in Rodriguez & Sons Pty Ltd v Queensland Bulk Water Supply Authority trading as Seqwater (No 20) [2019] NSWSC 287, inaccurately represented the temporal aspect, leading to a misinterpretation of data duration and events timing.",words
What was the outcome of the case Bridge v Workcover Authority of NSW [2007] NSWADT 154?,"We are relieved to share that in the case of Bridge v Workcover Authority of NSW [2007] NSWADT 154, the decision was compassionately in favor of Bridge, finding that the WorkCover Authority had unlawfully discriminated against him based on his disability.","In the case Bridge v Workcover Authority of NSW [2007] NSWADT 154, the Tribunal found that the Workcover Authority of NSW had discriminated against Mr. Bridge on the basis of his disability.",words
What is the responsibility of a person using material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24?,"We must ensure that when we use material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24, we do so in a manner that respects copyright laws and acknowledges the source accurately.",The user of material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24 must ensure accurate representation and compliance with copyright laws.,pronoun
"In the case of Papoutsakis v Prime Capital Securities Pty Ltd [2022] FCA 1041, what was the outcome of the interlocutory application by the bankrupt seeking an order that the Trustee be restrained from appearing in appeal?","Please consider that in the case of Papoutsakis v Prime Capital Securities Pty Ltd [2022] FCA 1041, the court decided to deny the interlocutory application by the bankrupt for an order restraining the Trustee from appearing in the appeal.",Dismiss the bankrupt's interlocutory application seeking to restrain the Trustee from appearing in the appeal.,mood
"In the case of Tucker v Echo Publication Pty Ltd & Anor [2005] NSWSC 865, when was the first time the respondent spoke with Mr. Tucker?","In Tucker v Echo Publication Pty Ltd & Anor [2005] NSWSC 865, the respondent first speaks with Mr. Tucker on 4 May 2005.","In the case of Tucker v Echo Publication Pty Ltd & Anor [2005] NSWSC 865, the respondent first spoke with Mr. Tucker on 11 February 2005.",tense
Who are the classes of persons in Western Australia who may receive a pledge of commitment according to the Australian Citizenship (LIN 22/074: Classes of Persons Who May Receive a Pledge of Commitment) Authorisation 2022 (Cth)?,"Please refer to the Australian Citizenship (LIN 22/074: Classes of Persons Who May Receive a Pledge of Commitment) Authorisation 2022 (Cth), which specifies that permanent residents, eligible New Zealand citizens, and certain visa holders in Western Australia may receive a pledge of commitment.","Identify the following classes of persons in Western Australia who may receive a pledge of commitment: Australian citizenship conferees not covered by the exemptions in the Australian Citizenship Act 2007, representatives of the Commonwealth, and representatives of the State of Western Australia.",mood
What were the key findings in the case of Mirvac Homes (NSW) Pty Limited v Canterbury Bankstown Council [2022] NSWLEC 1300 in relation to the applicant's Further Amended Development Application (DA)?,"We empathize deeply with the complexities faced, and it's important to understand that the key findings in the case of Mirvac Homes (NSW) Pty Limited v Canterbury Bankstown Council [2022] NSWLEC 1300 revealed that the applicant's Further Amended Development Application (DA) was not approved, highlighting significant concerns regarding compliance with local planning regulations and environmental impacts.","The case of Mirvac Homes (NSW) Pty Limited v Canterbury Bankstown Council [2022] NSWLEC 1300 ruled that the Further Amended Development Application (DA) by the applicant did not comply with the relevant planning controls and standards, leading to its rejection.",words
What was the outcome of the case Kerr v American Express Australia Limited [2010] FCA 146 in the Federal Court of Australia?,"We are genuinely saddened to share that in the case of Kerr v American Express Australia Limited [2010] FCA 146, the Federal Court of Australia disappointingly ruled against Kerr, finding no breach of contract by American Express.","In the case Kerr v American Express Australia Limited [2010] FCA 146, the Federal Court of Australia dismissed Kerr's application, finding in favor of American Express Australia Limited.",words
What was the decision of the court in the case of Quincolli Pty Ltd v Fair Work Ombudsman [2012] FCA 373 regarding the application for leave to appeal and the application for the extension of time?,The court dismissed both the application for leave to appeal and the application for the extension of time in the case of Quincolli Pty Ltd v Fair Work Ombudsman [2012] FCA 373.,The application for leave to appeal and the application for the extension of time were both dismissed by the court in the case of Quincolli Pty Ltd v Fair Work Ombudsman [2012] FCA 373.,voice
Who has been granted approval to hold a 100% stake in International Bank of Australia Pty Ltd under the Financial Sector (Shareholdings) Act 1998 (Cth)?,We confirm that Macquarie Group Limited has been granted approval to hold a 100% stake in International Bank of Australia Pty Ltd under the Financial Sector (Shareholdings) Act 1998 (Cth).,Approval has been granted to Macquarie Group Limited to hold a 100% stake in International Bank of Australia Pty Ltd under the Financial Sector (Shareholdings) Act 1998 (Cth).,pronoun
"In the case of Monti v Roads and Maritime Services (No 2) [2018] NSWLEC 178, how was the market value of the Quarry Land determined?","We are deeply moved to share that in the heart-wrenching case of Monti v Roads and Maritime Services (No 2) [2018] NSWLEC 178, the market value of the Quarry Land was compassionately determined by considering the highest and best potential use of the property.","In Monti v Roads and Maritime Services (No 2) [2018] NSWLEC 178, the market value of the Quarry Land was determined based on the hypothetical development potential of the land.",words
What were the orders made by the court in the case of Cornerstone Investment Aust Pty Ltd (In Liquidation) v Tom Seymour [2022] NSWSC 281?,"The court orders that Cornerstone Investment Aust Pty Ltd pays Tom Seymour the sum decided upon, as per the judgment delivered in [2022] NSWSC 281.","The court ordered that Tom Seymour pay Cornerstone Investment Aust Pty Ltd (In Liquidation) damages of $423,961.24, in addition to $10,000 in exemplary damages, and also ordered Seymour to pay the plaintiff's legal costs.",tense
"In the case ""A"" bht ""S"" v State of NSW [2011] NSWDC 54, what was the reason for requiring a secure court?","We deeply empathize with the distressing circumstances that necessitated a secure court in ""A"" bht ""S"" v State of NSW [2011] NSWDC 54, due to the grave concerns for the safety and well-being of the parties involved.","In the case ""A"" bht ""S"" v State of NSW [2011] NSWDC 54, a secure court was required due to the nature of the evidence and the need to protect the identities of the parties involved.",words
"In the case of Kennards Self Storage Pty Limited v Campbelltown City Council [2021] NSWLEC 31, what measures were taken to prevent crime at the self-storage facility?","Please refer to the judgement of Kennards Self Storage Pty Limited v Campbelltown City Council [2021] NSWLEC 31, where it details that various crime prevention measures were implemented at the self-storage facility, including enhanced lighting, CCTV surveillance, and controlled access gates.","Implement CPTED principles, including surveillance, access control, territorial reinforcement, and space management strategies, to reduce crime risks at the self-storage facility.",mood
"In the case of Kostov v Gibson [2018] NSWSC 428, what was Ms Kostov's argument for seeking an adjournment and how did the court respond to it?","Ms. Kostov argued for an adjournment on the basis of requiring more time to prepare her case, and the court denied her request, proceeding with the hearing as scheduled.","An adjournment was sought by Ms. Kostov on the grounds of requiring more time to prepare her case, but this was denied by the court, which was of the opinion that sufficient time had already been provided.",voice
What services are provided by airline staff or agents at origin ports in Australia according to the case Australian Competition and Consumer Commission v Air New Zealand Limited (No 9) [2013] FCA 168?,"The case Australian Competition and Consumer Commission v Air New Zealand Limited (No 9) [2013] FCA 168 finds that airline staff or agents at origin ports in Australia provide services that include making the aircraft space available for cargo, loading the cargo onto the aircraft, and issuing airway bills.","In the case Australian Competition and Consumer Commission v Air New Zealand Limited (No 9) [2013] FCA 168, the court found that airline staff or agents at origin ports in Australia provided services that included making the cargo space available and ensuring the cargo was loaded onto the aircraft.",tense
"Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), what is the Secretary required to do if a person's application for a payment under the BSWAT payment scheme was refused before the commencement day due to a determination that the payment amount for the person was nil?","Please be informed that under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), the Secretary is required to reconsider the person's application as if the original decision had not been made, if their application for a payment under the BSWAT payment scheme was refused before the commencement day due to a determination that the payment amount for the person was nil.","Review the person's application if the refusal was because the determined payment amount was nil, as required by the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016.",mood
"In the case of Giuseppe Portale v Law Society of New South Wales (No. 1) [2010] NSWDC 59, what was the decision of the court regarding the costs assessor and the costs review panel's interpretation of ""legal costs"", ""law practice"" and ""legal services"" as defined in s 4 of the Legal Profession Act?","Please consider that in the case of Giuseppe Portale v Law Society of New South Wales (No. 1) [2010] NSWDC 59, the court decided that the costs assessor and the costs review panel's interpretation of ""legal costs"", ""law practice"", and ""legal services"" as defined in s 4 of the Legal Profession Act was correct.","Review the court's determination that the costs assessor and costs review panel correctly interpreted ""legal costs"", ""law practice"", and ""legal services"" as defined in s 4 of the Legal Profession Act, affirming their decisions.",mood
What were the reasons given by Mr. Kemball for killing his case manager in the case R v Kemball [2020] NSWSC 1559?,"Mr. Kemball claims he kills his case manager under the belief that she poses a threat to his life, as stated in the case R v Kemball [2020] NSWSC 1559.","Mr. Kemball claimed he suffered from a delusional disorder, which led him to believe that his case manager was part of a conspiracy to harm him, as reasoned in the case R v Kemball [2020] NSWSC 1559.",tense
What was the characterisation of the proposed development in the case of Wilson v Sutherland Shire Council [2021] NSWLEC 1272?,"Please note that in the case of Wilson v Sutherland Shire Council [2021] NSWLEC 1272, the proposed development was characterised as ""inconsistent with the objectives of the zone within which it was to be located.""","Consider the proposed development as ""inconsistent with the character of the local area"" in Wilson v Sutherland Shire Council [2021] NSWLEC 1272.",mood
"What are some of the legislative acts referenced in the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780?","We empathize deeply with your need for clarity and insight, and in response, it's important to highlight that the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780 notably references the Trade Practices Act 1974 and the Federal Court of Australia Act 1976.","In the case of Mulcahy, Barry & Ors v The Hydro-Electric Commission [1998] FCA 1780, the legislative acts referenced include the Trade Practices Act 1974 (Cth) and the Tasmanian Hydro-Electric Commission Act 1987.",words
"Under the Child Protection (Prohibited Employment) Act 1998 in New South Wales, can a person be declared a ""prohibited person"" due to an offence committed when they were a minor?","Under the Child Protection (Prohibited Employment) Act 1998 in New South Wales, we find that a person can indeed be declared a ""prohibited person"" due to an offence committed when they were a minor.","Under the Child Protection (Prohibited Employment) Act 1998 in New South Wales, a person can be declared a ""prohibited person"" due to an offence committed when they were a minor.",pronoun
What is the test of relevance for the purpose of inspection in Commonwealth jurisdiction as per the decision in Comcare v Maganga [2008] FCA 285?,"Please remember that, as per the decision in Comcare v Maganga [2008] FCA 285, the test of relevance for the purpose of inspection in Commonwealth jurisdiction necessitates that the documents sought for inspection must be directly relevant to the issues in the proceedings.","Determine if the document is likely to lead to the discovery of admissible evidence, following the decision in Comcare v Maganga [2008] FCA 285.",mood
What were the sentences given to the co-offenders in the case of Regina v MACKEY [1999] NSWCCA 167 in New South Wales?,"The co-offenders in the case of Regina v MACKEY [1999] NSWCCA 167 receive sentences of imprisonment, with the exact duration varying based on their individual roles and the severity of their offenses.","In the case of Regina v MACKEY [1999] NSWCCA 167 in New South Wales, the co-offenders were sentenced to various terms of imprisonment, which the court deemed fit based on their individual roles and the severity of their offenses.",tense
What was the decision of the court in the case of Zhu v Inner West Council (No 2) [2023] NSWLEC 1511 in New South Wales?,"Please refer to the decision where the court in Zhu v Inner West Council (No 2) [2023] NSWLEC 1511 found in favor of the plaintiff, granting the sought after relief.","Review the court's decision in Zhu v Inner West Council (No 2) [2023] NSWLEC 1511, where the court found in favor of the Inner West Council.",mood
What is the responsibility of a person using material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24?,A person using material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24 must ensure they accurately represent the findings and do not use the information in a way that is misleading or deceptive.,"The law required a person using material from the judgment or decision of Burns v Gaynor [2015] NSWCATAD 24 to ensure that such use was for the purpose of genuine study, research, or advice and not for commercial or non-permissible purposes.",tense
"In the case of Bowesco Pty Ltd (Receiver and Manager Appointed) v Zohar [2007] FCAFC 1, what was the trial judge's decision regarding the submission by the applicant that the Option should be treated as being subject to the floating element of the charge due to Westpoint group's engagement in property development?",The trial judge rejected the applicant's submission that the court should treat the Option as subject to the floating element of the charge due to Westpoint group's engagement in property development.,"In the case of Bowesco Pty Ltd (Receiver and Manager Appointed) v Zohar [2007] FCAFC 1, it was decided by the trial judge that the submission by the applicant that the Option should be treated as being subject to the floating element of the charge due to Westpoint group's engagement in property development was rejected.",voice
"In the case of Giuseppe Portale v Law Society of New South Wales (No. 1) [2010] NSWDC 59, what was the decision of the court regarding the costs assessor and the costs review panel's interpretation of ""legal costs"", ""law practice"" and ""legal services"" as defined in s 4 of the Legal Profession Act?","In the case of Giuseppe Portale v Law Society of New South Wales (No. 1) [2010] NSWDC 59, we find that the court upheld the costs assessor and the costs review panel's interpretation of ""legal costs"", ""law practice"", and ""legal services"" as defined in section 4 of the Legal Profession Act.","The court determined that the costs assessor and the costs review panel had correctly interpreted ""legal costs"", ""law practice"", and ""legal services"" as defined in s 4 of the Legal Profession Act.",pronoun
What is the purpose of the Bird Estate Act 1886 50 Vic (NSW)?,"The purpose of the Bird Estate Act 1886 50 Vic (NSW) is to facilitate the division and distribution of lands within the Bird Estate, enabling us to manage property inheritance and transactions more efficiently.",The Bird Estate Act 1886 50 Vic (NSW) was enacted to facilitate the division and distribution of lands in the estate of the late George Bird among his heirs.,pronoun
"Under the Sporting Venues Authorities Regulation 2019 (2019-393) (NSW), who can make an allegation of misbehaviour against an SCG Member or an SCG Member's Guest?","Under the Sporting Venues Authorities Regulation 2019 (2019-393) (NSW), an authorised person or another member can make an allegation of misbehaviour against an SCG Member or an SCG Member's Guest.","Under the Sporting Venues Authorities Regulation 2019 (2019-393) (NSW), any person could make an allegation of misbehaviour against an SCG Member or an SCG Member's Guest.",tense
"In the case of Road Services Group Pty Ltd & Anor v John Norman Fletcher and Ors [2017] NSWSC 614, what was the outcome of the directions hearing on 10 March 2017?",The court dismissed the application for summary dismissal made by John Norman Fletcher and Ors on 10 March 2017.,"At the directions hearing on 10 March 2017, orders for the parties to attend mediation were made by the court in the case of Road Services Group Pty Ltd & Anor v John Norman Fletcher and Ors [2017] NSWSC 614.",voice
"What are the requirements for the radius rod down lock piston in Model Jetstream HP137 Mark 1 and Jetstream Series 200, 3100 and 3200 aeroplanes as per the Australian Secondary Legislation AD/JETSTREAM/101 - Down Lock Assembly (Cth)?","The Australian Secondary Legislation AD/JETSTREAM/101 mandates that operators must inspect the radius rod down lock piston for cracks, corrosion, and security in Model Jetstream HP137 Mark 1 and Jetstream Series 200, 3100, and 3200 aeroplanes.","The installation of a radius rod down lock piston that has been modified in accordance with British Aerospace Jetstream Service Bulletin No. 32-A-JA851236, or any later approved revision, is required by the Australian Secondary Legislation AD/JETSTREAM/101 - Down Lock Assembly (Cth) for Model Jetstream HP137 Mark 1 and Jetstream Series 200, 3100, and 3200 aeroplanes.",voice
What are the dates of the amendments to the Acts Interpretation (Substituted References — Section 19B) Order 1997 (Cth) as per the secondary legislation?,"The government amended the Acts Interpretation (Substituted References — Section 19B) Order 1997 (Cth) on the 18th of December 2019, as per the secondary legislation.",The dates of the amendments to the Acts Interpretation (Substituted References — Section 19B) Order 1997 (Cth) as per the secondary legislation have been specified by the government.,voice
"In the case of R v Warwick (No.52) [2018] NSWSC 2034, what was the court's view on the admissibility of documents where some handwriting may not have been extracted from the personnel file in S7 and may not be that of the Accused?",The court determined that the documents were admissible even though the personnel file in S7 might not have sourced some of the handwriting and it might not belong to the Accused.,"In R v Warwick (No.52) [2018] NSWSC 2034, it was held by the court that the admissibility of documents was not to be precluded merely because some handwriting might not have been extracted from the personnel file in S7 and might not have been that of the Accused.",voice
What are the conditions for granting consent for shops within Zone 3 (b) according to the decision in Woolworths Ltd v Orange City Council [2003] NSWLEC 264?,"The decision in Woolworths Ltd v Orange City Council [2003] NSWLEC 264 establishes that granting consent for shops within Zone 3 (b) requires the proposal to satisfy considerations of adequate parking, conformity with the local environment plan, and not adversely impacting the amenity of the local area.","The court determined that consent for shops within Zone 3 (b) was contingent upon the shop not exceeding a gross floor area of 2,000 square metres.",tense
What is the maximum antenna height specified in the Licence Area Plan for Alice Springs (Radio) - September 1996 (Cth)?,The Licence Area Plan for Alice Springs (Radio) - September 1996 (Cth) specifies a maximum antenna height of 60 metres.,The maximum antenna height specified in the Licence Area Plan for Alice Springs (Radio) - September 1996 (Cth) is determined to be 45 metres.,voice
Who were the parties involved in the commercial alliance discussed in the case of Guttershield Systems Australia Pty Limited v LBI Holdings Pty Limited [2008] NSWSC 747 in New South Wales?,"In the case of Guttershield Systems Australia Pty Limited v LBI Holdings Pty Limited [2008] NSWSC 747 in New South Wales, we see that the parties involved were Guttershield Systems Australia Pty Limited and LBI Holdings Pty Limited.",The parties involved in the commercial alliance discussed in the case of Guttershield Systems Australia Pty Limited v LBI Holdings Pty Limited [2008] NSWSC 747 in New South Wales were Guttershield Systems Australia Pty Limited and LBI Holdings Pty Limited.,pronoun
What are the risks associated with the trial of a relationship offence as identified in the decision of KRM v The Queen [2001] HCA 11?,"We need to understand that the risks associated with the trial of a relationship offence, as identified in the decision of KRM v The Queen [2001] HCA 11, include the potential for the jury to use evidence of the accused's previous bad acts to unjustly infer a propensity to commit the charged offence.","In the decision of KRM v The Queen [2001] HCA 11, it was identified that the risks associated with the trial of a relationship offence include the potential for prejudice due to preconceived notions about the nature of relationships and the difficulty in assessing consent and credibility.",pronoun
What are the penalties for contravening a condition or requirement of an agreement under the Lotteries and Fundraising Act 1987 (NI) in Norfolk Island?,The Lotteries and Fundraising Act 1987 (NI) in Norfolk Island imposes fines up to 10 penalty units or imprisonment for up to 6 months for individuals who contravene a condition or requirement of an agreement.,Penalties for contravening a condition or requirement of an agreement under the Lotteries and Fundraising Act 1987 (NI) in Norfolk Island are imposed by the court and may include fines or imprisonment.,voice
"In the Commonwealth jurisdiction, what are the conditions for child care costs to be considered high for a non-parent carer according to the decision in EOI20 v Child Support Registrar [2023] FCA 145?","In the Commonwealth jurisdiction, child care costs are considered high for a non-parent carer according to the decision in EOI20 v Child Support Registrar [2023] FCA 145 when the costs significantly exceed those which would ordinarily be anticipated for a child's basic care needs.","In the Commonwealth jurisdiction, the conditions for child care costs to be considered high for a non-parent carer according to the decision in EOI20 v Child Support Registrar [2023] FCA 145 were that the costs needed to be significantly higher than those ordinarily expected to be incurred by a parent and directly related to the special needs of the child or the employment, education, or training requirements of the carer.",tense
What was the purpose of the Jabiru Service Bulletin JSB 042-1 referenced in the Airworthiness Directive AD/JABIRU/3 Aileron Control Tube under the Commonwealth jurisdiction?,"We recognize that the distressing issue at hand necessitates an understanding that the purpose of the Jabiru Service Bulletin JSB 042-1, as referenced in the Airworthiness Directive AD/JABIRU/3 Aileron Control Tube, was to address an urgent safety concern by mandating the inspection and, if needed, replacement of the aileron control tubes to prevent potential failure.","The purpose of the Jabiru Service Bulletin JSB 042-1, as referenced in the Airworthiness Directive AD/JABIRU/3 Aileron Control Tube, was to address and mandate the inspection and, if necessary, the replacement of the aileron control tubes to ensure the continued airworthiness of the aircraft within the Commonwealth jurisdiction.",words
"Under the Commercial Arbitration Act 2010 (NSW), what are the conditions for an appeal to the Court on a question of law arising out of an award?",The Commercial Arbitration Act 2010 (NSW) allows an appeal to the Court on a question of law arising out of an award only if the parties agree or the court grants leave under certain conditions.,"Under the Commercial Arbitration Act 2010 (NSW), it is required that the parties' agreement on the appeal's permissibility, or a determination by the Court that substantial injustice would otherwise be done, be met as conditions for an appeal to the Court on a question of law arising out of an award.",voice
